Second, MeanLatency
1,40
2,28
3,29
4,29
5,29
6,28
7,29
8,29
9,27
10,28
11,28
12,28
13,28
14,29
15,28
16,28
17,29
18,28
19,28
20,28
21,28
22,28
23,28
24,29
25,28
26,28
27,28
28,27
29,28
30,31
31,30
32,30
33,30
34,30
35,30
36,30
37,31
38,30
39,30
40,30
41,30
42,30
43,30
44,30
45,30
46,30
47,32
48,30
49,30
50,31
51,31
52,30
53,30
54,30
55,30
56,30
57,30
58,30
59,30
60,30
61,29
62,29
63,29
64,29
65,28
66,28
67,30
68,28
69,29
70,29
71,29
72,28
73,28
74,29
75,28
76,28
77,31
78,29
79,28
80,29
81,28
82,27
83,28
84,28
85,29
86,28
87,29
88,28
89,27
